univNameCn,univTags,univCategory,province,score,ranking,lng,lat,tlng,tlat
清华大学,一流大学A类 985 211,综合,北京,969.2,1,116.326759,40.003304,116.3206296,40.00200284
北京大学,一流大学A类 985 211,综合,北京,855.3,2,116.308264,39.995304,116.3021744,39.99403634
浙江大学,一流大学A类 985 211,综合,浙江,768.7,3,120.164517,30.292956,120.1598348,30.29529152
上海交通大学,一流大学A类 985 211,综合,上海,723.4,4,121.425413,31.206075,121.4207734,31.20792881
南京大学,一流大学A类 985 211,综合,江苏,654.8,5,118.961365,32.110012,118.9562548,32.11217815
复旦大学,一流大学A类 985 211,综合,上海,649.7,6,121.498718,31.336472,121.4942574,31.33843014
中国科学技术大学,一流大学A类 985 211,理工,安徽,577,7,116.757576,39.588718,116.7515313,39.58753057
华中科技大学,一流大学A类 985 211,综合,湖北,574.3,8,114.434479,30.511049,114.42897,30.51336853
武汉大学,一流大学A类 985 211,综合,湖北,567.9,9,114.365248,30.53786,114.3597244,30.54018997
西安交通大学,一流大学A类 985 211,综合,陕西,537.9,10,108.98565,34.250189,108.9808578,34.2516866
哈尔滨工业大学,一流大学A类 985 211,理工,黑龙江,522.6,11,126.632884,45.743721,126.626948,45.74178696
中山大学,一流大学A类 985 211,综合,广东,519.3,12,113.391838,22.530892,113.3863571,22.53358392
北京师范大学,一流大学A类 985 211,师范,北京,518.3,13,116.364139,39.962637,116.3579325,39.96126931
四川大学,一流大学A类 985 211,综合,四川,516.6,14,104.083748,30.630869,104.0812178,30.63328355
北京航空航天大学,一流大学A类 985 211,理工,北京,513.8,15,116.347313,39.981771,116.3411392,39.98043163
同济大学,一流大学A类 985 211,理工,上海,508.3,16,121.210861,31.288713,121.2063973,31.29067682
东南大学,一流大学A类 985 211,综合,江苏,488.1,17,120.376091,31.482067,120.3714007,31.48385426
中国人民大学,一流大学A类 985 211,综合,北京,487.8,18,113.316177,23.120075,113.3107817,23.12269543
北京理工大学,一流大学A类 985 211,理工,北京,474,19,116.310583,39.960022,116.3044932,39.95875184
南开大学,一流大学A类 985 211,综合,天津,465.3,20,117.16999,39.103958,117.1636239,39.10287404
山东大学,一流大学A类 985 211,综合,山东,447,21,117.059475,36.678325,117.0534238,36.67791372
天津大学,一流大学A类 985 211,理工,天津,444.3,22,117.169884,39.113447,117.1635165,39.11235705
中南大学,一流大学A类 985 211,综合,湖南,442.2,23,112.926247,28.174528,112.9208315,28.17805664
吉林大学,一流大学A类 985 211,综合,吉林,435.7,24,125.280441,43.827437,125.2740444,43.82506565
西北工业大学,一流大学A类 985 211,理工,陕西,430.5,25,108.904854,34.241802,108.9002692,34.24343259
厦门大学,一流大学A类 985 211,综合,福建,427.8,26,118.095414,24.436803,118.0904405,24.43944183
华南理工大学,一流大学A类 985 211,理工,广东,419.8,27,113.367149,23.110704,113.3616564,23.1132369
大连理工大学,一流大学A类 985 211,理工,辽宁,418.2,28,121.529015,38.880379,121.5239212,38.87951523
华东师范大学,一流大学A类 985 211,师范,上海,401.8,29,121.390923,31.230452,121.386277,31.23229159
中国农业大学,一流大学A类 985 211,农业,北京,400.4,30,116.346695,39.991074,116.3405214,39.98973539
电子科技大学,一流大学A类 985 211,理工,四川,398.8,31,108.375046,30.790291,108.3704777,30.79258072
湖南大学,一流大学B类 985 211,综合,湖南,393.5,32,112.943119,28.177444,112.9376745,28.18095194
北京科技大学,一流学科 211,理工,北京,379.4,33,116.595156,39.918741,116.5893695,39.9177007
重庆大学,一流大学A类 985 211,综合,重庆,365.5,34,106.46773,29.561465,106.4637795,29.5640742
南京航空航天大学,一流学科 211,理工,江苏,358.6,35,118.820289,32.035021,118.8151431,32.03712262
东北大学,一流大学B类 985 211,理工,辽宁,356.1,36,123.419479,41.767193,123.4133357,41.76475104
南京理工大学,一流学科 211,理工,江苏,356,37,118.857244,32.026884,118.8521752,32.02905178
西安电子科技大学,一流学科 211,理工,陕西,355.1,38,108.915307,34.231049,108.9107142,34.23268152
兰州大学,一流大学A类 985 211,综合,甘肃,353.4,39,103.857658,36.045806,103.8552976,36.04617349
北京交通大学,一流学科 211,理工,北京,349.9,40,116.33934,39.950612,116.333188,39.94928884
南方科技大学,,综合,广东,345.8,41,113.987724,22.59359,113.9827679,22.596503
华中农业大学,一流学科 211,农业,湖北,338.5,42,114.356026,30.474377,114.3505204,30.47674138
上海大学,一流学科 211,综合,上海,333,43,121.392456,31.315883,121.3878013,31.317686
苏州大学,一流学科 211,综合,江苏,327,44,120.641182,31.302245,120.636984,31.30440009
华东理工大学,一流学科 211,理工,上海,324.5,45,120.568047,31.300606,120.5638378,31.30276764
华中师范大学,一流学科 211,师范,湖北,322,46,114.026222,22.537685,114.0211745,22.54048921
南京师范大学,一流学科 211,师范,江苏,321.3,47,118.911954,32.093466,118.9069258,32.09569306
中国地质大学（武汉）,一流学科 211,理工,湖北,320.2,48,114.400065,30.528835,114.3945219,30.53113411
东北师范大学,一流学科 211,师范,吉林,319.7,49,125.333496,43.862759,125.3269726,43.86032455
哈尔滨工程大学,一流学科 211,理工,黑龙江,319,50,126.681632,45.776638,126.6755681,45.77463127
西南交通大学,一流学科 211,理工,四川,318,51,103.445503,29.57567,103.4432375,29.5782698
南京农业大学,一流学科 211,农业,江苏,316.1,52,118.839686,32.033444,118.8345813,32.03558155
郑州大学,一流大学B类 211,综合,河南,312.8,53,113.533269,34.820615,113.5270672,34.82163204
北京邮电大学,一流学科 211,理工,北京,312.5,54,116.358103,39.961554,116.351909,39.96019631
